127.0.0.1 - - [24/Nov/2017:14:49:17 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [24/Nov/2017:14:49:39 +0800] "GET /IMT HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Nov/2017:14:49:39 +0800] "GET /IMT/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Nov/2017:14:49:40 +0800] "GET /IMT/Login.jsp HTTP/1.1" 200 4585
0:0:0:0:0:0:0:1 - - [24/Nov/2017:14:49:40 +0800] "GET /IMT/Styles/base.css HTTP/1.1" 200 4467
0:0:0:0:0:0:0:1 - - [24/Nov/2017:14:49:40 +0800] "GET /IMT/Styles/admin-all.css HTTP/1.1" 200 6220
0:0:0:0:0:0:0:1 - - [24/Nov/2017:14:49:40 +0800] "GET /IMT/Scripts/chur.min.js HTTP/1.1" 200 8263
0:0:0:0:0:0:0:1 - - [24/Nov/2017:14:49:40 +0800] "GET /IMT/Scripts/jquery.spritely-0.6.js HTTP/1.1" 200 23926
0:0:0:0:0:0:0:1 - - [24/Nov/2017:14:49:40 +0800] "GET /IMT/Styles/bootstrap.min.css HTTP/1.1" 200 83176
0:0:0:0:0:0:0:1 - - [24/Nov/2017:14:49:40 +0800] "GET /IMT/Scripts/jquery-1.7.2.js HTTP/1.1" 200 252881
0:0:0:0:0:0:0:1 - - [24/Nov/2017:14:49:40 +0800] "GET /IMT/Styles/login.css HTTP/1.1" 200 2082
0:0:0:0:0:0:0:1 - - [24/Nov/2017:14:49:40 +0800] "GET /IMT/img/cloud1.png HTTP/1.1" 200 101927
0:0:0:0:0:0:0:1 - - [24/Nov/2017:14:49:40 +0800] "GET /IMT/Styles/font/Vani.ttf HTTP/1.1" 200 386996
0:0:0:0:0:0:0:1 - - [24/Nov/2017:14:49:40 +0800] "GET /IMT/img/chur/0.png HTTP/1.1" 200 3762
0:0:0:0:0:0:0:1 - - [24/Nov/2017:14:49:40 +0800] "GET /IMT/img/chur/3.png HTTP/1.1" 200 3552
0:0:0:0:0:0:0:1 - - [24/Nov/2017:14:49:40 +0800] "GET /IMT/img/chur/5.png HTTP/1.1" 200 3815
0:0:0:0:0:0:0:1 - - [24/Nov/2017:14:49:40 +0800] "GET /IMT/img/chur/1.png HTTP/1.1" 200 3815
0:0:0:0:0:0:0:1 - - [24/Nov/2017:14:49:40 +0800] "GET /IMT/img/chur/4.png HTTP/1.1" 200 3330
0:0:0:0:0:0:0:1 - - [24/Nov/2017:14:49:40 +0800] "GET /IMT/img/chur/2.png HTTP/1.1" 200 3493
0:0:0:0:0:0:0:1 - - [24/Nov/2017:14:49:40 +0800] "GET /IMT/img/cloud.jpg HTTP/1.1" 200 847897
0:0:0:0:0:0:0:1 - - [24/Nov/2017:14:49:40 +0800] "GET /IMT/Styles/font/fzqt.ttf HTTP/1.1" 200 6570960
0:0:0:0:0:0:0:1 - - [24/Nov/2017:14:49:40 +0800] "GET /IMT/AuthImage.do HTTP/1.1" 200 1719
0:0:0:0:0:0:0:1 - - [24/Nov/2017:14:49:40 +0800] "GET /favicon.ico HTTP/1.1" 404 973
