127.0.0.1 - - [11/Dec/2017:15:11:19 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:10 +0800] "GET /renren-security HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:10 +0800] "GET /renren-security/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:10 +0800] "GET /renren-security/login.html HTTP/1.1" 200 4335
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:10 +0800] "GET /renren-security/statics/css/main.css HTTP/1.1" 200 1057
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:10 +0800] "GET /renren-security/statics/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:10 +0800] "GET /renren-security/statics/css/AdminLTE.min.css HTTP/1.1" 200 90275
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:10 +0800] "GET /renren-security/statics/libs/jquery.min.js HTTP/1.1" 200 85578
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:10 +0800] "GET /renren-security/statics/css/all-skins.min.css HTTP/1.1" 200 40757
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:10 +0800] "GET /renren-security/statics/libs/jquery.slimscroll.min.js HTTP/1.1" 200 6230
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:10 +0800] "GET /renren-security/statics/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:10 +0800] "GET /renren-security/statics/libs/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:10 +0800] "GET /renren-security/statics/libs/fastclick.min.js HTTP/1.1" 200 8776
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:10 +0800] "GET /renren-security/statics/libs/vue.min.js HTTP/1.1" 200 76666
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:10 +0800] "GET /renren-security/statics/libs/app.js HTTP/1.1" 200 23280
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:10 +0800] "GET /renren-security/statics/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:11 +0800] "GET /renren-security/captcha.jpg HTTP/1.1" 200 2957
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:18 +0800] "POST /renren-security/sys/login HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:18 +0800] "GET /renren-security/index.html HTTP/1.1" 200 5702
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:18 +0800] "GET /renren-security/statics/plugins/layer/layer.js HTTP/1.1" 200 21343
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:18 +0800] "GET /renren-security/statics/libs/router.js HTTP/1.1" 200 1777
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:18 +0800] "GET /renren-security/statics/js/index.js HTTP/1.1" 200 3485
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:19 +0800] "GET /renren-security/statics/plugins/layer/skin/default/layer.css?v=3.0.11110 HTTP/1.1" 200 14296
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:19 +0800] "GET /renren-security/main.html HTTP/1.1" 200 2185
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:19 +0800] "GET /renren-security/sys/user/info?_1512976339026 HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:19 +0800] "GET /renren-security/sys/menu/nav?_1512976339024 HTTP/1.1" 200 2105
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:19 +0800] "GET /renren-security/statics/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:23 +0800] "GET /renren-security/modules/sys/user.html HTTP/1.1" 200 4426
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:23 +0800] "GET /renren-security/statics/plugins/jqgrid/grid.locale-cn.js HTTP/1.1" 200 9369
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:23 +0800] "GET /renren-security/statics/js/common.js HTTP/1.1" 200 1714
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:23 +0800] "GET /renren-security/statics/plugins/ztree/css/metroStyle/metroStyle.css HTTP/1.1" 200 6576
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:23 +0800] "GET /renren-security/statics/plugins/jqgrid/ui.jqgrid-bootstrap.css HTTP/1.1" 200 18291
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:23 +0800] "GET /renren-security/statics/js/modules/sys/user.js?_1512976343188 HTTP/1.1" 200 6011
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:23 +0800] "GET /renren-security/statics/plugins/ztree/jquery.ztree.all.min.js HTTP/1.1" 200 63404
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:23 +0800] "GET /renren-security/statics/plugins/jqgrid/jquery.jqGrid.min.js HTTP/1.1" 200 334710
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:23 +0800] "GET /renren-security/sys/user/list?_search=false&nd=1512976343540&limit=10&page=1&sidx=&order=asc&_=1512976343242 HTTP/1.1" 200 379
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:23 +0800] "GET /renren-security/modules/sys/dept.html HTTP/1.1" 200 3866
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:24 +0800] "GET /renren-security/statics/plugins/treegrid/jquery.treegrid.css HTTP/1.1" 200 1126
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:24 +0800] "GET /renren-security/statics/plugins/treegrid/jquery.treegrid.min.js HTTP/1.1" 200 8883
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:24 +0800] "GET /renren-security/statics/plugins/treegrid/jquery.treegrid.bootstrap3.js HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:24 +0800] "GET /renren-security/statics/css/bootstrap-table.min.css HTTP/1.1" 200 5711
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:24 +0800] "GET /renren-security/statics/plugins/treegrid/jquery.treegrid.extension.js HTTP/1.1" 200 11716
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:24 +0800] "GET /renren-security/statics/plugins/treegrid/tree.table.js HTTP/1.1" 200 4374
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:24 +0800] "GET /renren-security/statics/js/modules/sys/dept.js?_1512976343716 HTTP/1.1" 200 5062
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:24 +0800] "GET /renren-security/statics/libs/bootstrap-table.min.js HTTP/1.1" 200 54644
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:24 +0800] "GET /renren-security/sys/dept/info?_=1512976344032 HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:24 +0800] "GET /renren-security/sys/dept/list?_=1512976344033 HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:25 +0800] "GET /renren-security/modules/sys/user.html HTTP/1.1" 200 4426
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:25 +0800] "GET /renren-security/statics/js/modules/sys/user.js?_1512976345978 HTTP/1.1" 200 6011
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:26 +0800] "GET /renren-security/sys/user/list?_search=false&nd=1512976346060&limit=10&page=1&sidx=&order=asc&_=1512976346002 HTTP/1.1" 200 379
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:28 +0800] "GET /renren-security/modules/sys/dept.html HTTP/1.1" 200 3866
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:28 +0800] "GET /renren-security/statics/js/modules/sys/dept.js?_1512976348388 HTTP/1.1" 200 5062
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:28 +0800] "GET /renren-security/sys/dept/info?_=1512976348409 HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:28 +0800] "GET /renren-security/sys/dept/list?_=1512976348410 HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:32 +0800] "GET /renren-security/index.html HTTP/1.1" 200 5702
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:32 +0800] "GET /renren-security/sys/user/info?_1512976352833 HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:32 +0800] "GET /renren-security/sys/menu/nav?_1512976352832 HTTP/1.1" 200 2105
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:32 +0800] "GET /renren-security/main.html HTTP/1.1" 200 2185
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:32 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:32 +0800] "GET /renren-security/modules/sys/dept.html HTTP/1.1" 200 3866
0:0:0:0:0:0:0:1 - - [11/Dec/2017:15:12:32 +0800] "GET /renren-security/statics/js/modules/sys/dept.js?_1512976352907 HTTP/1.1" 200 5062
